country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Norway,0.776,0.776,0.809,0.809,0.809,0.812,0.812,0.812,0.812,0.812,0.837,0.837,0.837,0.837,0.867,0.932,0.937,0.937,0.965,0.965,0.965,0.965,0.943,0.943,0.943,0.943,0.943,0.943,0.952,0.982,0.982,0.982,0.952,0.952,0.982,1,1,1,0.94,0.94,0.94,0.94,0.94,0.918
Oman,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.228,0.228,0.228,0.228,0.228,0.228,0.228,0.228,0.228,0.261,0.261,0.261,0.261,0.264,0.267,0.267,0.285,0.275,0.275,0.275,0.256,0.256,0.256,0.256,0.268,0.268,0.268,0.268,0.274,0.274,0.295,0.305
Pakistan,0.285,0.285,0.302,0.302,0.318,0.318,0.331,0.331,0.343,0.343,0.411,0.411,0.411,0.452,0.465,0.326,0.326,0.326,0.326,0.326,0.335,0.335,0.42,0.42,0.449,0.473,0.488,0.49,0.465,0.465,0.465,0.465,0.465,0.495,0.501,0.515,0.515,0.521,0.515,0.515,0.493,0.48,0.461,0.482
Panama,0.347,0.347,0.349,0.393,0.393,0.381,0.362,0.316,0.316,0.345,0.345,0.345,0.346,0.346,0.346,0.539,0.539,0.539,0.539,0.539,0.539,0.539,0.541,0.541,0.548,0.579,0.579,0.579,0.579,0.594,0.594,0.594,0.594,0.594,0.575,0.575,0.575,0.575,0.605,0.646,0.646,0.646,0.602,0.595
Papua New Guinea,0.279,0.283,0.326,0.326,0.326,0.326,0.326,0.321,0.321,0.321,0.321,0.321,0.301,0.301,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.31,0.31,0.31,0.31,0.31,0.31,0.314,0.314,0.314,0.314,0.328,0.328,0.328,0.328,0.328,0.332,0.332,0.325,0.288,0.288,0.257,0.257
Paraguay,0.139,0.141,0.141,0.134,0.134,0.134,0.134,0.135,0.109,0.109,0.109,0.109,0.109,0.125,0.149,0.295,0.295,0.298,0.316,0.316,0.316,0.318,0.318,0.396,0.396,0.466,0.468,0.468,0.491,0.497,0.497,0.497,0.497,0.521,0.521,0.521,0.521,0.521,0.53,0.536,0.536,0.529,0.529,0.515
Peru,0.295,0.295,0.295,0.295,0.295,0.36,0.38,0.38,0.38,0.38,0.376,0.392,0.392,0.392,0.392,0.463,0.488,0.488,0.494,0.497,0.5,0.5,0.5,0.5,0.5,0.541,0.545,0.545,0.545,0.548,0.591,0.664,0.664,0.664,0.664,0.664,0.631,0.631,0.612,0.612,0.593,0.606,0.63,0.64
Philippines,0.466,0.466,0.47,0.457,0.457,0.457,0.457,0.46,0.46,0.46,0.46,0.635,0.662,0.662,0.662,0.662,0.668,0.67,0.67,0.67,0.668,0.673,0.673,0.682,0.682,0.688,0.695,0.695,0.695,0.697,0.697,0.697,0.701,0.701,0.701,0.707,0.717,0.717,0.676,0.676,0.73,0.751,0.668,0.679
Poland,0.496,0.502,0.502,0.502,0.502,0.53,0.53,0.508,0.508,0.508,0.517,0.517,0.517,0.517,0.577,0.669,0.661,0.661,0.676,0.676,0.676,0.676,0.702,0.702,0.702,0.702,0.707,0.707,0.707,0.712,0.712,0.712,0.739,0.735,0.735,0.741,0.75,0.756,0.756,0.791,0.806,0.792,0.726,0.698
Portugal,0.539,0.532,0.565,0.565,0.571,0.527,0.527,0.527,0.527,0.527,0.55,0.55,0.549,0.549,0.549,0.564,0.57,0.57,0.573,0.573,0.648,0.648,0.651,0.651,0.657,0.657,0.661,0.68,0.68,0.68,0.674,0.674,0.683,0.683,0.711,0.716,0.722,0.773,0.638,0.643,0.691,0.739,0.728,0.728
Qatar,0.246,0.246,0.246,0.248,0.248,0.248,0.248,0.248,0.248,0.25,0.25,0.25,0.25,0.25,0.267,0.297,0.31,0.31,0.31,0.312,0.312,0.336,0.336,0.338,0.338,0.37,0.37,0.37,0.372,0.372,0.372,0.341,0.341,0.342,0.342,0.342,0.342,0.342,0.342,0.343,0.343,0.333,0.343,0.388
Romania,0.614,0.614,0.614,0.614,0.614,0.654,0.654,0.654,0.654,0.654,0.657,0.657,0.657,0.657,0.657,0.537,0.537,0.554,0.554,0.554,0.554,0.581,0.581,0.581,0.584,0.614,0.614,0.614,0.614,0.605,0.605,0.608,0.603,0.604,0.623,0.623,0.623,0.631,0.598,0.602,0.606,0.582,0.607,0.663
Russia,0.42,0.42,0.423,0.423,0.418,0.418,0.418,0.418,0.421,0.426,0.426,0.426,0.426,0.429,0.419,0.436,0.435,0.503,0.509,0.513,0.505,0.505,0.505,0.505,0.504,0.476,0.476,0.476,0.47,0.483,0.483,0.484,0.489,0.489,0.489,0.489,0.491,0.51,0.499,0.499,0.499,0.491,0.511,0.523
Rwanda,0.32,0.32,0.32,0.32,0.32,0.32,0.322,0.322,0.347,0.347,0.347,0.347,0.347,0.351,0.351,0.408,0.412,0.418,0.435,0.419,0.501,0.501,0.544,0.544,0.547,0.608,0.608,0.608,0.647,0.729,0.774,0.774,0.774,0.774,0.775,0.794,0.794,0.794,0.844,0.782,0.782,0.782,0.75,0.727
Saudi Arabia,0.0734,0.0734,0.0734,0.0734,0.0734,0.0734,0.0734,0.0734,0.0734,0.0734,0.0734,0.0734,0.0885,0.0885,0.0885,0.0885,0.135,0.135,0.135,0.135,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.125,0.197,0.197,0.197,0.197,0.197,0.197
Senegal,0.465,0.465,0.465,0.506,0.506,0.506,0.506,0.506,0.507,0.507,0.507,0.507,0.507,0.508,0.509,0.509,0.509,0.509,0.509,0.509,0.486,0.497,0.497,0.515,0.511,0.526,0.584,0.579,0.579,0.584,0.584,0.584,0.599,0.604,0.61,0.61,0.611,0.619,0.655,0.655,0.655,0.655,0.709,0.699
Serbia,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.391,0.391,0.396,0.396,0.393,0.393,0.393,0.393,0.455,0.443,0.483,0.48,0.48,0.48,0.487,0.487,0.487,0.487,0.537,0.537,0.537,0.54,0.54,0.54,0.554,0.562,0.566,0.566,0.566,0.566,0.585,0.544,0.544,0.544,0.544,0.538,0.558
Sierra Leone,0.212,0.212,0.202,0.202,0.202,0.202,0.202,0.212,0.212,0.212,0.212,0.278,0.278,0.278,0.278,0.256,0.318,0.347,0.353,0.358,0.364,0.423,0.442,0.446,0.45,0.454,0.458,0.519,0.519,0.54,0.54,0.54,0.537,0.537,0.538,0.538,0.538,0.507,0.626,0.626,0.626,0.626,0.626,0.578
Singapore,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.411,0.411,0.411,0.411,0.415,0.415,0.439,0.434,0.434,0.434,0.434,0.434,0.438,0.443,0.443,0.443,0.564,0.569,0.569,0.569,0.569,0.569,0.58,0.584,0.584,0.584,0.568,0.568,0.568,0.568,0.568,0.571,0.571,0.578,0.621
Slovak Republic,,,,,,,,,,,,,,,,,,,0.63,0.632,0.632,0.635,0.635,0.629,0.629,0.629,0.633,0.623,0.623,0.623,0.623,0.642,0.642,0.642,0.642,0.668,0.671,0.662,0.646,0.646,0.646,0.66,0.621,0.65
Slovenia,,,,,,,,,,,,,,,,,0.543,0.576,0.624,0.624,0.624,0.612,0.612,0.612,0.612,0.615,0.607,0.611,0.611,0.611,0.611,0.611,0.615,0.615,0.656,0.667,0.686,0.737,0.768,0.756,0.741,0.699,0.671,0.683
Somalia,0.2,0.2,0.2,0.2,0.224,0.224,0.224,0.224,0.224,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.171,0.146,0.146,0.146,0.146,0.146,0.146,0.157,0.157,0.179,0.179,0.179,0.179,0.179,0.194,0.194,0.172,0.172,0.169,0.192,0.225,0.235,0.275,0.275,0.275,0.314,0.37,0.357
South Africa,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.295,0.302,0.302,0.302,0.302,0.308,0.302,0.306,0.308,0.308,0.308,0.626,0.656,0.656,0.645,0.645,0.651,0.673,0.673,0.673,0.663,0.748,0.758,0.758,0.758,0.758,0.701,0.701,0.701,0.701,0.64,0.682,0.657,0.673,0.657,0.633
South Korea,0.328,0.328,0.328,0.318,0.318,0.318,0.318,0.321,0.321,0.321,0.325,0.325,0.325,0.405,0.405,0.405,0.405,0.464,0.52,0.539,0.539,0.541,0.537,0.602,0.602,0.607,0.607,0.63,0.63,0.645,0.645,0.648,0.623,0.635,0.635,0.635,0.635,0.635,0.645,0.645,0.625,0.63,0.677,0.67
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.351,0.351,0.34,0.34,0.34,0.317,0.339,0.38
Spain,0.228,0.228,0.441,0.569,0.569,0.636,0.636,0.639,0.639,0.639,0.639,0.65,0.65,0.655,0.679,0.679,0.679,0.679,0.713,0.713,0.713,0.735,0.735,0.738,0.738,0.737,0.737,0.737,0.741,0.778,0.817,0.817,0.828,0.817,0.833,0.853,0.829,0.829,0.812,0.812,0.789,0.799,0.799,0.799
Sri Lanka,0.472,0.472,0.46,0.46,0.46,0.477,0.477,0.462,0.462,0.462,0.462,0.462,0.462,0.486,0.492,0.492,0.492,0.492,0.492,0.496,0.496,0.499,0.499,0.499,0.485,0.488,0.485,0.485,0.485,0.502,0.488,0.491,0.491,0.491,0.491,0.491,0.487,0.487,0.491,0.485,0.534,0.55,0.557,0.557
Sudan,0.252,0.252,0.252,0.257,0.257,0.234,0.234,0.241,0.248,0.248,0.262,0.242,0.242,0.242,0.219,0.267,0.276,0.279,0.279,0.279,0.284,0.288,0.288,0.288,0.3,0.342,0.346,0.346,0.346,0.346,0.354,0.356,0.357,0.357,0.357,0.385,0.385,0.385,0.379,0.379,0.37,0.401,0.393,0.425
Swaziland,0.409,0.409,0.409,0.403,0.441,0.441,0.441,0.445,0.43,0.43,0.43,0.43,0.437,0.437,0.437,0.437,0.437,0.369,0.394,0.397,0.397,0.397,0.397,0.397,0.397,0.397,0.397,0.397,0.422,0.425,0.414,0.421,0.421,0.426,0.424,0.431,0.416,0.419,0.413,0.413,0.413,0.413,0.385,0.38
Sweden,0.678,0.704,0.737,0.737,0.779,0.779,0.779,0.749,0.749,0.749,0.774,0.774,0.822,0.836,0.836,0.852,0.861,0.869,0.869,0.905,0.905,0.905,0.905,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.937,0.937,0.937,0.937,0.937,0.925,0.925,0.925,0.925,0.918,0.918
Switzerland,0.546,0.546,0.546,0.546,0.557,0.557,0.557,0.561,0.565,0.565,0.565,0.565,0.607,0.607,0.607,0.641,0.614,0.614,0.614,0.614,0.656,0.656,0.656,0.704,0.743,0.78,0.78,0.78,0.791,0.784,0.784,0.784,0.812,0.812,0.812,0.817,0.817,0.817,0.769,0.779,0.769,0.769,0.851,0.851
Syria,0.308,0.308,0.315,0.32,0.32,0.32,0.338,0.338,0.338,0.338,0.338,0.347,0.352,0.352,0.352,0.347,0.347,0.347,0.352,0.361,0.361,0.361,0.361,0.361,0.361,0.376,0.376,0.381,0.385,0.385,0.385,0.385,0.385,0.389,0.389,0.389,0.389,0.377,0.381,0.368,0.368,0.359,0.359,0.363
Tajikistan,,,,,,,,,,,,,,,,,0.387,0.381,0.284,0.239,0.303,0.303,0.303,0.303,0.284,0.375,0.375,0.38,0.38,0.38,0.394,0.336,0.351,0.351,0.351,0.353,0.353,0.356,0.371,0.371,0.371,0.328,0.315,0.308
Tanzania,0.488,0.491,0.491,0.491,0.491,0.49,0.506,0.506,0.506,0.508,0.508,0.508,0.508,0.508,0.515,0.536,0.54,0.534,0.534,0.534,0.587,0.596,0.596,0.596,0.596,0.604,0.624,0.624,0.624,0.62,0.608,0.608,0.61,0.61,0.61,0.628,0.628,0.628,0.628,0.628,0.706,0.691,0.734,0.638
Thailand,0.375,0.408,0.413,0.413,0.399,0.417,0.452,0.455,0.445,0.445,0.445,0.445,0.445,0.45,0.45,0.484,0.487,0.526,0.576,0.576,0.572,0.579,0.579,0.619,0.619,0.619,0.634,0.634,0.634,0.634,0.652,0.649,0.665,0.665,0.668,0.651,0.649,0.649,0.659,0.664,0.669,0.592,0.636,0.636
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.526,0.55,0.546,0.546,0.546,0.545,0.545,0.548,0.548,0.55,0.557,0.557,0.557,0.533,0.527,0.496,0.503
Togo,0.255,0.255,0.268,0.268,0.268,0.345,0.354,0.354,0.354,0.354,0.353,0.353,0.353,0.38,0.38,0.375,0.409,0.448,0.434,0.373,0.373,0.373,0.373,0.405,0.419,0.456,0.456,0.511,0.495,0.501,0.545,0.549,0.549,0.557,0.557,0.494,0.494,0.496,0.608,0.608,0.606,0.606,0.556,0.567
Trinidad and Tobago,0.385,0.405,0.405,0.408,0.408,0.408,0.459,0.459,0.459,0.462,0.475,0.501,0.551,0.555,0.555,0.555,0.567,0.567,0.567,0.57,0.561,0.561,0.561,0.561,0.564,0.668,0.668,0.689,0.689,0.694,0.694,0.694,0.735,0.735,0.735,0.795,0.795,0.795,0.755,0.755,0.805,0.805,0.787,0.825
Tunisia,0.242,0.242,0.242,0.242,0.242,0.269,0.304,0.304,0.304,0.304,0.304,0.309,0.345,0.386,0.382,0.399,0.399,0.399,0.402,0.416,0.416,0.416,0.416,0.418,0.431,0.431,0.431,0.431,0.431,0.474,0.477,0.477,0.477,0.477,0.479,0.471,0.569,0.569,0.57,0.577,0.603,0.606,0.606,0.606
Turkey,0.274,0.274,0.274,0.274,0.274,0.256,0.256,0.256,0.263,0.263,0.263,0.263,0.282,0.282,0.282,0.282,0.31,0.31,0.31,0.31,0.333,0.336,0.336,0.336,0.332,0.332,0.332,0.347,0.347,0.347,0.347,0.347,0.327,0.327,0.327,0.33,0.33,0.357,0.286,0.286,0.289,0.304,0.304,0.344
Turkmenistan,,,,,,,,,,,,,,,,,0.237,0.284,0.284,0.337,0.337,0.337,0.337,0.337,0.349,0.349,0.349,0.349,0.349,0.349,0.343,0.343,0.364,0.372,0.372,0.372,0.372,0.416,0.343,0.343,0.343,0.343,0.34,0.406
Uganda,0.347,0.347,0.347,0.347,0.347,0.352,0.352,0.352,0.352,0.352,0.306,0.415,0.43,0.43,0.505,0.501,0.501,0.501,0.503,0.556,0.599,0.608,0.661,0.661,0.661,0.661,0.672,0.672,0.673,0.673,0.673,0.694,0.694,0.694,0.702,0.654,0.661,0.636,0.643,0.643,0.625,0.671,0.669,0.604
Ukraine,,,,,,,,,,,,,,,,,0.437,0.418,0.421,0.426,0.444,0.444,0.444,0.534,0.534,0.534,0.534,0.487,0.504,0.577,0.63,0.621,0.636,0.636,0.636,0.596,0.592,0.635,0.635,0.622,0.622,0.606,0.599,0.605
United Arab Emirates,0.0819,0.0819,0.0819,0.085,0.085,0.085,0.085,0.085,0.085,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.134,0.134,0.134,0.192,0.192,0.256,0.324,0.324,0.324,0.324,0.369,0.365,0.365,0.365,0.375,0.375,0.375,0.39
United Kingdom,0.604,0.607,0.607,0.607,0.589,0.589,0.589,0.593,0.594,0.594,0.594,0.594,0.603,0.603,0.603,0.605,0.557,0.547,0.55,0.55,0.55,0.55,0.628,0.628,0.633,0.633,0.633,0.633,0.633,0.638,0.695,0.699,0.699,0.699,0.699,0.687,0.692,0.808,0.753,0.753,0.795,0.795,0.778,0.778
United States,0.511,0.526,0.526,0.534,0.534,0.585,0.585,0.625,0.625,0.606,0.606,0.625,0.625,0.61,0.629,0.629,0.629,0.666,0.717,0.717,0.717,0.736,0.736,0.738,0.738,0.746,0.716,0.716,0.716,0.723,0.723,0.731,0.731,0.764,0.764,0.815,0.815,0.809,0.743,0.756,0.756,0.742,0.688,0.688
Uruguay,0.403,0.403,0.405,0.405,0.405,0.395,0.396,0.396,0.396,0.42,0.58,0.58,0.58,0.58,0.555,0.535,0.535,0.535,0.535,0.57,0.57,0.57,0.57,0.57,0.558,0.558,0.558,0.558,0.558,0.64,0.64,0.64,0.64,0.64,0.655,0.704,0.697,0.697,0.689,0.741,0.683,0.683,0.691,0.672
Uzbekistan,,,,,,,,,,,,,,,,,0.442,0.442,0.442,0.42,0.42,0.441,0.441,0.441,0.48,0.48,0.48,0.483,0.483,0.508,0.508,0.508,0.511,0.511,0.518,0.518,0.518,0.488,0.511,0.511,0.505,0.509,0.523,0.494
Venezuela,0.438,0.438,0.438,0.451,0.451,0.451,0.451,0.455,0.462,0.477,0.477,0.477,0.477,0.497,0.511,0.511,0.511,0.514,0.501,0.501,0.501,0.504,0.504,0.521,0.603,0.618,0.622,0.622,0.622,0.622,0.637,0.662,0.662,0.662,0.662,0.662,0.662,0.662,0.666,0.671,0.667,0.667,0.682,0.665
Vietnam,0.614,0.61,0.61,0.61,0.61,0.61,0.602,0.602,0.602,0.604,0.604,0.621,0.611,0.611,0.611,0.611,0.611,0.6,0.6,0.6,0.6,0.6,0.612,0.612,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.635,0.635,0.635,0.635,0.645,0.647,0.592,0.6,0.6,0.604,0.596,0.583
Yemen,0.0344,0.0344,0.0344,0,0,0,0,0,0,0,0,0,0,0,0.0685,0.233,0.201,0.201,0.185,0.185,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.192,0.192,0.192,0.197,0.197,0.197,0.197,0.197,0.245,0.248,0.284,0.26,0.176,0.273,0.2,0.273
Zambia,0.368,0.368,0.368,0.363,0.363,0.363,0.363,0.363,0.359,0.362,0.362,0.362,0.362,0.37,0.378,0.41,0.378,0.424,0.424,0.427,0.427,0.46,0.464,0.464,0.464,0.493,0.533,0.533,0.533,0.533,0.52,0.524,0.524,0.524,0.512,0.524,0.508,0.52,0.512,0.512,0.506,0.557,0.574,0.574
Zimbabwe,0.118,0.118,0.118,0.118,0.121,0.385,0.427,0.427,0.427,0.427,0.432,0.44,0.44,0.44,0.44,0.447,0.44,0.44,0.443,0.443,0.451,0.451,0.451,0.451,0.451,0.434,0.437,0.437,0.437,0.437,0.448,0.448,0.448,0.448,0.448,0.448,0.448,0.448,0.51,0.497,0.497,0.502,0.51,0.502
