Location,Lower_2000,Middle_2000,Upper_2000,Lower_2014,Middle_2014,Upper_2014
"Akron, OH",19.9,59.8,20.3,24.5,54.6,20.9
"Albany-Schenectady-Troy, NY",22.1,60.1,17.8,20.2,55.1,24.8
"Albuquerque, NM",28.6,55.4,16,33,50.7,16.3
"Allentown-Bethlehem-Easton, PA-NJ",23,60.7,16.2,25.2,55.7,19.1
"Amarillo, TX",32.3,54.7,13,27.4,52.6,20
"Anchorage, AK",22,58.2,19.8,20.3,55.5,24.2
"Ann Arbor, MI",21.9,51.2,26.9,25.6,49.3,25.1
"Anniston-Oxford-Jacksonville, AL",33,54.6,12.4,33.6,50.5,16
"Atlanta-Sandy Springs-Roswell, GA",20,56,23.9,27,50.5,22.6
"Atlantic City-Hammonton, NJ",29.3,59.2,11.5,30.1,52.8,17
"Auburn-Opelika, AL",35.1,49.7,15.2,38.5,43,18.5
"Augusta-Richmond County, GA-SC",27,55.1,17.9,29.3,52.7,18
"Austin-Round Rock, TX",23.2,55.1,21.8,23.4,52.5,24.1
"Bakersfield, CA",40.3,47.3,12.4,41.5,43.6,14.9
"Baltimore-Columbia-Towson, MD",23.1,57.5,19.4,23,51.3,25.7
"Bangor, ME",33.2,56.4,10.4,32.6,54.2,13.3
"Barnstable Town, MA",21.5,59.9,18.6,17.7,52.1,30.3
"Baton Rouge, LA",31.6,52.4,16.1,26.2,52.5,21.3
"Beaumont-Port Arthur, TX",30.5,53.6,15.9,32.2,50.8,17
"Bellingham, WA",29.3,55.8,14.9,32.1,51.8,16.1
"Bend-Redmond, OR",24.7,59.5,15.8,29.1,51.1,19.8
"Binghamton, NY",28.5,57.9,13.7,28.8,53.9,17.4
"Birmingham-Hoover, AL",27.1,53.7,19.1,29.9,49.6,20.5
"Blacksburg-Christiansburg-Radford, VA",34.4,52.4,13.1,34.3,50.7,15
"Bloomington, IL",19.6,58.1,22.3,24.5,50.2,25.3
"Boise City, ID",23,60.5,16.5,29.6,54.8,15.6
"Boston-Cambridge-Newton, MA-NH",21.4,55.9,22.7,21.7,48.6,29.6
"Bremerton-Silverdale, WA",23.3,60,16.7,23.1,57.1,19.8
"Bridgeport-Stamford-Norwalk, CT",21.7,49.7,28.6,22.5,45.6,32
"Brownsville-Harlingen, TX",49.8,41.2,9,46.9,42.7,10.4
"Buffalo-Cheektowaga-Niagara Falls, NY",25.4,58,16.7,26.2,52.8,20.9
"Burlington, NC",25.8,59.2,15,34.1,51.8,14.1
"Burlington-South Burlington, VT",23.8,61.2,14.9,24.5,51.5,24
"Canton-Massillon, OH",22.4,62.3,15.3,25.3,58.6,16.2
"Cape Coral-Fort Myers, FL",25.9,58,16.1,28.4,54.2,17.4
"Champaign-Urbana, IL",28.6,53.5,17.9,35.9,44.4,19.7
"Charleston-North Charleston, SC",29.2,56,14.9,26.2,53.4,20.5
"Charlotte-Concord-Gastonia, NC-SC",20.8,58.6,20.6,27.5,52.1,20.4
"Chattanooga, TN-GA",26,58.3,15.6,29.2,53.3,17.5
"Chicago-Naperville-Elgin, IL-IN-WI",23.6,56.3,20.2,27.4,51.1,21.5
"Chico, CA",39.5,49.6,11,40,46.9,13.1
"Cincinnati, OH-KY-IN",20.9,58,21,22.6,52.3,25.2
"Clarksville, TN-KY",30.5,59.2,10.3,32.2,55.7,12.1
"Cleveland-Elyria, OH",21,56.9,22.2,25.5,52.3,22.3
"Colorado Springs, CO",20.6,61.2,18.2,23.5,54.8,21.7
"Columbia, MO",27.7,54.2,18.1,28.4,53.9,17.7
"Columbus, OH",20.6,58.3,21.1,23.6,51.6,24.9
"Corpus Christi, TX",34.1,53,12.9,29.9,52.3,17.8
"Dallas-Fort Worth-Arlington, TX",25.3,54.5,20.2,27.6,50.4,22
"Daphne-Fairhope-Foley, AL",27.6,56.3,16.1,27.4,50.2,22.4
"Dayton, OH",22.1,58,19.9,26.9,52.7,20.4
"Decatur, AL",27.8,55.3,16.9,27.2,56.1,16.7
"Decatur, IL",26,57.2,16.9,25.8,53.6,20.6
"Deltona-Daytona Beach-Ormond Beach, FL",31.7,56.3,12,34.4,53.1,12.5
"Denver-Aurora-Lakewood, CO",18.8,57.7,23.6,22.4,53,24.6
"Detroit-Warren-Dearborn, MI",21.2,55.1,23.8,28.1,51.4,20.5
"Dover, DE",25.9,60.5,13.7,23.2,57.5,19.3
"East Stroudsburg, PA",25,60.5,14.5,23.3,60,16.7
"Eau Claire, WI",23.7,65,11.3,22.6,61.2,16.2
"El Centro, CA",43.9,46.8,9.2,42.1,44.7,13.3
"Elkhart-Goshen, IN",20.7,64,15.3,23.1,61.4,15.5
"El Paso, TX",42.7,47.4,9.9,43.5,45.6,10.9
"Erie, PA",26.7,62,11.3,30.5,52.3,17.2
"Eugene, OR",30.7,56.7,12.6,34.7,52,13.3
"Fayetteville, NC",27.6,60.4,12,33.3,52.2,14.6
"Fayetteville-Springdale-Rogers, AR-MO",27.5,58.8,13.7,28.9,51.2,20
"Flagstaff, AZ",34.6,51.7,13.7,35.2,47,17.8
"Fort Collins, CO",20.8,58.9,20.3,26.2,55.7,18.1
"Fort Wayne, IN",20.1,61,18.8,26.9,58.7,14.4
"Fresno, CA",41.5,46.6,11.9,43.2,44.3,12.5
"Gadsden, AL",30.8,54.7,14.5,32.6,55.6,11.8
"Gainesville, FL",39.2,46.6,14.2,35.6,47.2,17.2
"Gainesville, GA",24.2,58.2,17.6,28.1,54.1,17.8
"Glens Falls, NY",27.1,61.4,11.6,27.2,58.1,14.6
"Goldsboro, NC",27.2,59.6,13.2,40.9,47.8,11.4
"Grand Junction, CO",29.9,58.8,11.3,28,52,20
"Grand Rapids-Wyoming, MI",18,62.8,19.2,24.8,56.8,18.4
"Greensboro-High Point, NC",24.1,58.8,17.1,31.3,52.8,15.9
"Greenville, NC",34.3,50.5,15.3,39.4,46.3,14.3
"Greenville-Anderson-Mauldin, SC",26.5,57.1,16.4,33.4,50.2,16.4
"Gulfport-Biloxi-Pascagoula, MS",28.8,59.1,12.1,33.5,53.7,12.7
"Hanford-Corcoran, CA",41.2,47.7,11.1,39.2,49.1,11.8
"Harrisburg-Carlisle, PA",21.3,60.8,18,21.3,57.7,21.1
"Hartford-West Hartford-East Hartford, CT",18.9,55.7,25.4,21,49.3,29.7
"Hickory-Lenoir-Morganton, NC",24.6,62.4,13,35.2,54.3,10.4
"Hilton Head Island-Bluffton-Beaufort, SC",26.8,50.7,22.6,23.1,56.1,20.9
"Houma-Thibodaux, LA",34.6,55.5,10,32.5,52.6,14.9
"Houston-The Woodlands-Sugar Land, TX",29.5,51.1,19.4,28.5,48.5,23
"Huntsville, AL",23.1,54.1,22.8,25.5,50.1,24.4
"Indianapolis-Carmel-Anderson, IN",19.9,58.9,21.2,24.4,54.8,20.8
"Jackson, MI",19.9,62.7,17.4,30.3,56.4,13.3
"Jackson, TN",26.6,54.5,18.9,29.2,55.3,15.5
"Jacksonville, FL",24.3,58.4,17.3,28.2,52.9,18.9
"Janesville-Beloit, WI",17.1,65.2,17.8,19.5,65.2,15.4
"Johnstown, PA",28.9,59.3,11.7,25.2,56,18.8
"Joplin, MO",30.6,59.8,9.6,30.3,56.8,13
"Kalamazoo-Portage, MI",24.5,58.3,17.2,31,52.5,16.5
"Kankakee, IL",27.3,60,12.7,23.3,62.1,14.6
"Kansas City, MO-KS",18.5,58.9,22.6,23,54.8,22.2
"Knoxville, TN",30.4,54.4,15.2,32.5,50.1,17.5
"Lafayette, LA",33.8,51.9,14.4,28.2,49.8,22.1
"Lake Havasu City-Kingman, AZ",38.5,53.2,8.3,42.6,47.6,9.8
"Lakeland-Winter Haven, FL",30.3,58.1,11.6,33.5,55.2,11.3
"Lancaster, PA",20.8,64.1,15.1,24.1,57,18.8
"Lansing-East Lansing, MI",23.5,57.3,19.2,28.4,55.1,16.6
"Laredo, TX",50.9,40.2,8.9,46.9,44.2,8.9
"Las Cruces, NM",45.2,45.5,9.3,45.3,45.5,9.3
"Las Vegas-Henderson-Paradise, NV",24.6,59.7,15.8,29,55.9,15
"Lebanon, PA",23.8,61.8,14.4,21.2,62.8,15.9
"Lewiston-Auburn, ME",28.1,61.2,10.8,25.6,53.2,21.1
"Lincoln, NE",20.5,61,18.5,23.9,56.1,20
"Little Rock-North Little Rock-Conway, AR",25.7,57.1,17.2,26.9,55.4,17.6
"Los Angeles-Long Beach-Anaheim, CA",37.3,47.3,15.5,37.2,46.5,16.3
"Louisville/Jefferson County, KY-IN",22.8,58.2,19,25.4,54.1,20.5
"Lubbock, TX",35.2,51.5,13.3,33.6,51.8,14.6
"Lynchburg, VA",25.9,58.7,15.3,29.1,54.9,16
"Madera, CA",42.5,46.9,10.6,38.5,51.3,10.2
"Manchester-Nashua, NH",20.2,61.8,17.9,21.2,56.2,22.7
"Mansfield, OH",23.7,61.5,14.8,32.6,54.4,13.1
"McAllen-Edinburg-Mission, TX",53.4,38.6,7.9,46.1,45,8.9
"Medford, OR",29.6,56.6,13.8,33.8,53.4,12.8
"Memphis, TN-MS-AR",28,54.2,17.8,31.8,49.5,18.7
"Merced, CA",41.9,47.8,10.3,43,47.4,9.5
"Miami-Fort Lauderdale-West Palm Beach, FL",33.6,51,15.4,36.7,48.5,14.8
"Michigan City-La Porte, IN",18.3,63.2,18.6,27.1,57,15.9
"Midland, TX",28.2,53.3,18.5,20.7,42.6,36.8
"Milwaukee-Waukesha-West Allis, WI",19.8,58.9,21.3,25.5,52.6,22
"Minneapolis-St. Paul-Bloomington, MN-WI",16.4,61,22.6,20.1,54.6,25.4
"Mobile, AL",32.1,53.6,14.4,30.7,53.3,16
"Modesto, CA",33.8,54.1,12.1,36.5,49.4,14.1
"Monroe, LA",33.9,50.7,15.4,38.7,41.8,19.5
"Monroe, MI",18.2,61.1,20.8,24,58.1,17.9
"Montgomery, AL",27.5,54.6,17.9,30.5,50.7,18.8
"Morgantown, WV",36.9,49.8,13.3,37.7,46,16.3
"Muncie, IN",31.7,54.3,14.1,34,53,13.1
"Muskegon, MI",25.3,60.1,14.6,31.5,56.1,12.4
"Napa, CA",26.6,56.6,16.8,25.1,51.5,23.5
"Naples-Immokalee-Marco Island, FL",21.6,53.5,25,26.7,51.5,21.8
"Nashville-Davidson--Murfreesboro--Franklin, TN",22,58.8,19.2,26.5,53.7,19.8
"New Haven-Milford, CT",26,57.9,16.2,27.7,50,22.3
"New Orleans-Metairie, LA",35.6,51.2,13.2,30.3,49.2,20.6
"New York-Newark-Jersey City, NY-NJ-PA",31,50.7,18.3,30.9,48.1,21
"Niles-Benton Harbor, MI",25.5,58.3,16.3,31.6,46.4,22
"North Port-Sarasota-Bradenton, FL",24.7,57.5,17.8,26.6,54,19.4
"Norwich-New London, CT",18,61.2,20.8,18.6,52.8,28.7
"Ocala, FL",33.9,56.5,9.6,31.5,55.8,12.8
"Ocean City, NJ",31.5,53.2,15.3,28.6,52.8,18.7
"Odessa, TX",38.9,51.6,9.5,24.2,54.8,21
"Ogden-Clearfield, UT",18.5,64.6,16.9,18.9,62.6,18.5
"Oklahoma City, OK",28.9,56.2,15,26.5,52.9,20.6
"Olympia-Tumwater, WA",23.3,61.8,15,22.6,56,21.5
"Omaha-Council Bluffs, NE-IA",20.5,62.3,17.2,21.9,56,22.2
"Orlando-Kissimmee-Sanford, FL",26.6,58.4,15,32.7,51.6,15.7
"Owensboro, KY",25.3,58.2,16.5,27.7,58.5,13.8
"Oxnard-Thousand Oaks-Ventura, CA",23.4,56.3,20.3,26.4,53.2,20.4
"Palm Bay-Melbourne-Titusville, FL",26.1,58.7,15.2,27.1,56.3,16.6
"Pensacola-Ferry Pass-Brent, FL",30,55.9,14.1,26.1,57.4,16.5
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25.4,56.1,18.5,27,50.6,22.4
"Phoenix-Mesa-Scottsdale, AZ",27.3,55.9,16.8,29.1,52.3,18.6
"Pittsburgh, PA",25.6,57.3,17.1,23.6,54.6,21.9
"Portland-South Portland, ME",22.8,62,15.2,22.1,57,21
"Portland-Vancouver-Hillsboro, OR-WA",22,59.4,18.7,25,53.7,21.3
"Port St. Lucie, FL",28.8,55.1,16.1,29.8,54.9,15.4
"Prescott, AZ",34.1,53.3,12.6,32.9,52.8,14.4
"Providence-Warwick, RI-MA",26.4,57.6,16,25.5,52.3,22.2
"Provo-Orem, UT",28.4,60.1,11.5,28,58.3,13.8
"Pueblo, CO",32.7,57.3,10.1,37.1,51.2,11.7
"Punta Gorda, FL",28.1,59.8,12.1,28.8,54,17.3
"Racine, WI",16.7,62.9,20.5,23.3,55.1,21.6
"Raleigh, NC",19.2,55.5,25.3,24.7,50.4,25
"Reading, PA",21.4,63.4,15.2,25,56.9,18
"Redding, CA",35.3,53.2,11.6,32.5,53.2,14.3
"Reno, NV",23.2,59,17.8,30.4,52.8,16.8
"Richmond, VA",20.4,58.8,20.7,21.6,54.2,24.2
"Riverside-San Bernardino-Ontario, CA",34.8,53,12.3,35.7,51,13.4
"Rochester, NY",22.2,59.6,18.2,25.2,56.7,18
"Rockford, IL",19.9,60.5,19.6,28.2,53.7,18.2
"Rocky Mount, NC",29.8,54.9,15.4,36,51.7,12.3
"Sacramento--Roseville--Arden-Arcade, CA",26.1,54.9,19,29.4,48.9,21.7
"Saginaw, MI",24.7,58.6,16.6,26.7,58.5,14.9
"St. Louis, MO-IL",19.1,57.7,23.2,22.5,52.8,24.7
"Salinas, CA",29.3,54.2,16.6,34,50.6,15.4
"Salisbury, MD-DE",24.5,58.3,17.2,23.1,54.3,22.5
"Salt Lake City, UT",20.7,63,16.3,24.1,58.2,17.8
"San Angelo, TX",33.9,55.1,11,28,56.6,15.5
"San Antonio-New Braunfels, TX",31.8,53,15.3,29.1,52.6,18.3
"San Diego-Carlsbad, CA",31.3,53.1,15.6,31.3,50.4,18.2
"San Francisco-Oakland-Hayward, CA",23.6,52.7,23.8,24.2,47.7,28.1
"San Jose-Sunnyvale-Santa Clara, CA",19.2,52.8,28.1,20.4,48.5,31.1
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",31.1,52.2,16.8,29.8,51.3,18.9
"Santa Cruz-Watsonville, CA",30.9,50.3,18.8,30.1,50.5,19.5
"Santa Fe, NM",24.1,52.8,23.2,29.4,49.3,21.3
"Santa Maria-Santa Barbara, CA",30.5,50.5,18.9,33.8,46.3,19.9
"Santa Rosa, CA",25,58.7,16.2,27,54,19.1
"Scranton--Wilkes-Barre--Hazleton, PA",28.8,58.6,12.6,28.5,55.7,15.8
"Seattle-Tacoma-Bellevue, WA",20.1,59.4,20.5,21.3,52.6,26.2
"Sheboygan, WI",15.6,69.6,14.9,18.2,63.2,18.7
"Shreveport-Bossier City, LA",32.7,51.6,15.7,32.8,49.4,17.9
"Spartanburg, SC",26.2,56.9,16.9,32.7,50.1,17.2
"Spokane-Spokane Valley, WA",28.2,57.7,14.2,32.1,52.1,15.8
"Springfield, IL",20.6,60.9,18.5,24.8,49.3,25.9
"Springfield, MA",26.1,58.1,15.8,28.8,51,20.2
"Springfield, MO",27.2,59,13.9,33.3,53.8,12.9
"Springfield, OH",21.4,61,17.6,32.3,55,12.8
"State College, PA",37.5,49.4,13.2,35.3,49.4,15.3
"Stockton-Lodi, CA",34.3,52,13.7,34.5,50.6,14.9
"Syracuse, NY",27.1,57,15.9,25.9,54.9,19.2
"Tampa-St. Petersburg-Clearwater, FL",27.9,57,15,31.8,52.5,15.7
"Toledo, OH",24.2,58.3,17.5,28.7,53.1,18.2
"Trenton, NJ",21.6,54,24.4,23.8,48.1,28.1
"Tucson, AZ",31.1,54.1,14.8,33.4,49.4,17.2
"Tyler, TX",30,54.3,15.7,34.4,49.3,16.4
"Urban Honolulu, HI",28,59.1,12.9,21.6,63,15.3
"Utica-Rome, NY",28,60.4,11.6,28.5,56.6,14.9
"Vallejo-Fairfield, CA",25.7,60.7,13.5,26.6,57.4,16
"Virginia Beach-Norfolk-Newport News, VA-NC",25,59.7,15.3,23.8,56.1,20.1
"Visalia-Porterville, CA",42.9,46.7,10.4,46.1,44.6,9.3
"Waco, TX",33,53.6,13.3,32.7,54,13.3
"Washington-Arlington-Alexandria, DC-VA-MD-WV",19,55.6,25.4,18.9,49.5,31.6
"Wausau, WI",17.9,66.2,15.8,18.2,67.2,14.6
"Wichita, KS",21.3,60.5,18.2,26.1,56.2,17.7
"Wichita Falls, TX",31.9,57.2,10.9,30.1,56.2,13.7
"Winston-Salem, NC",23,59.6,17.4,30.9,53.2,16
"Worcester, MA-CT",24.1,59.8,16.2,23.7,52.8,23.5
"Yakima, WA",36.2,52.8,11.1,35.3,52.3,12.3
"York-Hanover, PA",19.5,65.1,15.3,22.8,57.4,19.7
"Youngstown-Warren-Boardman, OH-PA",26,58.5,15.5,26.8,60.2,12.9
"Yuba City, CA",38.1,50.8,11.2,37.3,50.7,12
"Yuma, AZ",41.8,47.9,10.3,43.7,46.8,9.5