Index,Item
Q1,I am interested in science.
Q2,I was in advanced classes.
Q3,I like to play RPGs. (Ex. D&D)
Q4,My appearance is not as important as my intelligence.
Q5,I collect books.
Q6,I prefer academic success to social success.
Q7,I watch science related shows.
Q8,I spend recreational time researching topics others might find dry or overly rigorous.
Q9,I like science fiction.
Q10,I would rather read a book than go to a party.
Q11,I am more comfortable with my hobbies than I am with other people.
Q12,I spend more time at the library than any other public place.
Q13,I would describe my smarts as bookish.
Q14,I like to read technology news reports.
Q15,I have started writing a novel.
Q16,I gravitate towards introspection.
Q17,I am more comfortable interacting online than in person.
Q18,I love to read challenging material.
Q19,I have played a lot of video games.
Q20,I was a very odd child.
Q21,I sometimes prefer fictional people to real ones.
Q22,I enjoy learning more than I need to.
Q23,I get excited about my ideas and research.
Q24,I am a strange person.
Q25,I care about super heroes.
Q26,I can be socially awkward at times.