Rank,AllPos,AllNeg,TopPos,TopNeg,Movie,ReleaseDate,ReleaseMonth,Revenues,year
234,54,103,6,20,G.I. Joe: The Rise of Cobra (Paramount),8/7/09,Aug,150201919.00,2009
235,116,23,19,3,Puss in Boots (2011) (Paramount / DreamWorks),10/28/11,Oct,149260504.00,2011
236,209,22,40,3,Knocked Up (Universal),6/1/07,Jun,148768421.00,2007
237,65,11,19,2,As Good as It Gets (Sony / TriStar),12/23/97,Dec,148478260.00,1997
238,14,130,1,28,Little Fockers (Universal),12/22/10,Dec,148438600.00,2010
239,126,47,23,9,Megamind (Paramount / DreamWorks),11/5/10,Nov,148415853.00,2010
240,132,51,29,12,Talladega Nights: The Ballad of Ricky Bobby (Sony / Columbia),8/4/06,Aug,148213093.00,2006
241,177,45,31,12,Gran Torino (Warner Bros.),12/12/08,Dec,148095382.00,2008
242,30,6,5,0,Lethal Weapon 2 (Warner Bros.),7/7/89,Jul,147307168.00,1989
243,210,31,29,12,X-Men: First Class (Fox),6/3/11,Jun,146408305.00,2011
244,37,76,8,19,Paul Blart: Mall Cop (Sony / Columbia),1/16/09,Jan,146336624.00,2009
245,33,13,5,4,True Lies (Fox),7/15/94,Jul,146282462.00,1994
246,124,21,23,7,Lilo & Stitch (Disney),6/21/02,Jun,145783422.00,2002
247,66,60,9,24,American Pie 2 (Universal),8/10/01,Aug,145103924.00,2001
248,98,70,15,21,Taken (Fox),1/30/09,Jan,145000403.00,2009
249,36,1,5,0,101 Dalmatians (1961) (Disney),1/25/61,Jan,144880212.00,1961
250,32,8,4,2,The Santa Clause (Disney),11/11/94,Nov,144833975.00,1994
251,113,81,18,19,"I, Robot (Fox)",7/16/04,Jul,144795113.00,2004
252,24,19,3,6,Lethal Weapon 3 (Warner Bros.),5/15/92,May,144731292.00,1992
253,76,69,21,13,The Fast and the Furious (Universal),6/22/01,Jun,144533907.00,2001
254,22,28,4,4,Doctor Dolittle (1998) (Fox),6/26/98,Jun,144156756.00,1998
255,96,81,17,23,Mamma Mia! (Universal),7/18/08,Jul,144130725.00,2008
256,58,76,10,16,Hotel Transylvania (Sony / Columbia),9/28/12,Sep,143923820.00,2012
257,102,40,18,8,Rio (2011) (Fox),4/15/11,Apr,143619809.00,2011
258,194,12,38,0,Juno (Fox Searchlight),12/5/07,Dec,143495248.00,2007
259,85,50,18,16,Marley & Me (Fox),12/25/08,Dec,143153015.00,2008
260,26,87,5,16,The Smurfs (Sony / Columbia),7/29/11,Jul,142614158.00,2011
261,86,92,12,21,XXX (Sony / Columbia),8/9/02,Aug,142109000.00,2002
262,125,62,24,15,The Chronicles of Narnia: Prince Caspian (Disney),5/16/08,May,141621918.00,2008
263,38,4,4,1,National Lampoon's Animal House (Universal),7/28/78,Jul,141600129.00,1978
264,29,23,10,4,Pocahontas (Disney),6/16/95,Jun,141579941.00,1995
265,35,8,8,1,A Few Good Men (Columbia),12/11/92,Dec,141340483.00,1992
266,212,14,38,2,Slumdog Millionaire (Fox Searchlight),11/12/08,Nov,141319441.00,2008
267,40,26,7,8,Rush Hour (New Line),9/18/98,Sep,141186224.00,1998
268,118,18,28,3,The Blair Witch Project (Artisan),7/14/99,Jul,140539251.00,1999
269,24,27,2,4,Deep Impact (Paramount),5/8/98,May,140464310.00,1998
270,30,127,7,24,Rush Hour 3 (New Line),8/10/07,Aug,140125005.00,2007
271,19,14,2,5,Look Who's Talking (TriStar),10/13/89,Oct,140088166.00,1989
272,64,33,17,13,Stuart Little (Sony / Columbia),12/17/99,Dec,140035011.00,1999
273,30,9,0,3,The Rocky Horror Picture Show (Fox),9/26/75,Sep,139876106.00,1975
274,15,6,2,1,Sister Act (Disney),5/29/92,May,139605188.00,1992
275,74,133,10,28,The Matrix Revolutions (Warner Bros.),11/5/03,Nov,139313424.00,2003
276,62,51,14,15,The Santa Clause 2 (Disney),11/1/02,Nov,139236262.00,2002
277,207,12,36,1,The King's Speech (Weinstein Company),11/26/10,Nov,138797449.00,2010
278,26,87,10,21,Cheaper by the Dozen (Fox),12/25/03,Dec,138614076.00,2003
279,37,125,6,34,Bad Boys II (Sony / Columbia),7/18/03,Jul,138608489.00,2003
280,39,6,7,3,Platoon (Orion),12/19/86,Dec,138530553.00,1986
281,174,31,33,5,21 Jump Street (Sony / Columbia),3/16/12,Mar,138447667.00,2012
282,67,2,16,0,Good Will Hunting (Miramax),12/5/97,Dec,138433880.00,1997
283,63,4,15,2,Star Wars: Special Edition (Fox),1/31/97,Jan,138257865.00,1997
284,33,123,8,22,Taken 2 (Fox),10/5/12,Oct,138132493.00,2012
285,100,86,17,16,Disney's A Christmas Carol (Disney),11/6/09,Nov,137785051.00,2009
286,79,43,20,11,Dinosaur (Disney),5/19/00,May,137748601.00,2000
287,54,112,11,26,Click (Sony / Columbia),6/23/06,Jun,137355347.00,2006
288,105,27,24,9,The Green Mile (Warner Bros.),12/10/99,Dec,136801509.00,1999
289,24,9,5,3,Ransom (Disney),11/8/96,Nov,136492894.00,1996
290,16,46,4,6,Godzilla (1998) (Sony / TriStar),5/20/98,May,136314861.00,1998
291,13,20,1,5,101 Dalmatians (1996) (Disney),11/27/96,Nov,136189436.00,1996
292,82,107,18,22,Anger Management (Sony / Columbia),4/11/03,Apr,135645721.00,2003
293,25,4,1,1,The Jungle Book (1967) (Disney),10/18/67,Oct,135475744.00,1967
294,58,101,9,26,Chicken Little (Disney),11/4/05,Nov,135386342.00,2005
295,17,22,4,3,Teenage Mutant Ninja Turtles (1990) (New Line),3/30/90,Mar,135265256.00,1990
296,13,43,4,13,Patch Adams (Universal),12/25/98,Dec,135026722.00,1998
297,76,0,14,0,The Godfather (Paramount),3/15/72,Mar,134966044.00,1972
298,147,72,22,18,The Incredible Hulk (Universal),6/13/08,Jun,134806396.00,2008
299,167,38,33,8,Live Free or Die Hard (Fox),6/27/07,Jun,134529431.00,2007
300,142,59,29,12,Wanted (2008) (Universal),6/27/08,Jun,134508730.00,2008
301,33,16,10,6,The Rock (Disney),6/7/96,Jun,134069199.00,1996
302,154,65,28,16,Mission: Impossible III (Paramount),5/5/06,May,134029548.00,2006
303,92,156,14,29,Angels & Demons (Sony / Columbia),5/15/09,May,133378559.00,2009
304,121,101,28,16,Troy (Warner Bros.),5/14/04,May,133378121.00,2004
305,9,63,2,17,Alvin and the Chipmunks: Chipwrecked (Fox),12/16/11,Dec,133110742.00,2011
306,50,97,12,21,Bringing Down the House (Disney),3/7/03,Mar,132716668.00,2003
307,212,17,43,3,The Departed (Warner Bros.),10/6/06,Oct,132384480.00,2006
308,141,87,23,20,Hulk (Universal),6/20/03,Jun,132175930.00,2003
309,38,2,5,0,Close Encounters of the Third Kind (Columbia),11/16/77,Nov,132088195.00,1977
310,207,19,35,4,Minority Report (Fox),6/21/02,Jun,132072987.00,2002
311,62,105,12,24,Fantastic Four: Rise of the Silver Surfer (Fox),6/15/07,Jun,131921992.00,2007
312,11,165,2,31,The Last Airbender (Paramount),7/1/10,Jul,131601062.00,2010
313,29,126,7,29,"Lara Croft, Tomb Raider (Paramount)",6/15/01,Jun,131168071.00,2001
314,52,2,10,1,The Silence of the Lambs (Orion),2/14/91,Feb,130742537.00,1991
315,23,8,3,1,"Honey, I Shrunk the Kids (Disney)",6/23/89,Jun,130724390.00,1989
316,9,32,2,5,The Flintstones (Universal),5/27/94,May,130560663.00,1994
317,34,32,6,7,Lethal Weapon 4 (Warner Bros.),7/10/98,Jul,130444242.00,1998
318,108,104,21,19,Get Smart (Warner Bros.),6/20/08,Jun,130319504.00,2008
319,167,43,34,10,American Gangster (Universal),11/2/07,Nov,130164472.00,2007
320,135,18,30,3,American Beauty (DreamWorks),9/15/99,Sep,130096097.00,1999
321,16,1,1,0,An Officer and a Gentleman (Paramount),7/28/82,Jul,129795263.00,1982
322,128,52,20,16,The Ring (DreamWorks),10/18/02,Oct,129128681.00,2002
323,35,19,14,2,The Nutty Professor (1996) (Universal),6/28/96,Jun,128814458.00,1996
324,193,18,42,1,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (Fox),11/3/06,Nov,128505664.00,2006
325,113,64,25,11,Robots (Fox),3/11/05,Mar,128200217.00,2005
326,25,12,0,5,Coming to America (Paramount),6/29/88,Jun,128152468.00,1988
327,143,4,33,1,"Crouching Tiger, Hidden Dragon (Sony Pictures Classics)",12/8/00,Dec,128078605.00,2000
328,166,76,24,16,Shutter Island (Paramount),2/19/10,Feb,128012934.00,2010
329,15,19,0,4,Rocky IV (MGM/UA),11/27/85,Nov,127873963.00,1985
330,153,11,33,3,Enchanted (Disney),11/21/07,Nov,127807274.00,2007
331,168,64,29,10,The Curious Case of Benjamin Button (Paramount),12/25/08,Dec,127509575.00,2008
332,58,98,13,21,Sweet Home Alabama (Disney),9/27/02,Sep,127223533.00,2002
333,29,17,4,6,Dumb and Dumber (New Line),12/16/94,Dec,127175036.00,1994
334,56,99,13,21,2 Fast 2 Furious (Universal),6/6/03,Jun,127154156.00,2003
335,40,16,10,7,My Best Friend's Wedding (Sony / TriStar),6/20/97,Jun,127120017.00,1997
336,216,46,33,9,Super 8 (Paramount),6/9/11,Jun,127004179.00,2011
337,61,59,17,12,The World Is Not Enough (MGM),11/19/99,Nov,126943347.00,1999
338,20,5,0,1,Smokey and the Bandit (Universal),5/27/77,May,126737978.00,1977
339,32,13,6,5,Sleepless in Seattle (TriStar),6/25/93,Jun,126680160.00,1993
340,86,83,19,20,Bee Movie (Paramount / DreamWorks),11/2/07,Nov,126631177.00,2007
341,193,69,30,12,Prometheus (Fox),6/8/12,Jun,126477084.00,2012
342,34,121,6,26,Mr. Deeds (Sony / Columbia),6/28/02,Jun,126293861.00,2002
343,94,82,18,14,Safe House (Universal),2/10/12,Feb,126181630.00,2012
344,94,5,18,2,The Truman Show (Paramount),6/5/98,Jun,125618228.00,1998
345,119,23,31,4,Erin Brockovich (Universal),3/17/00,Mar,125595540.00,2000
346,98,78,23,16,Ocean's Twelve (Warner Bros.),12/10/04,Dec,125544296.00,2004
347,88,180,13,27,Terminator Salvation (Warner Bros.),5/21/09,May,125322732.00,2009
348,95,46,22,13,Charlie's Angels (Sony / Columbia),11/3/00,Nov,125305200.00,2000
349,36,27,5,9,Tomorrow Never Dies (MGM/UA),12/19/97,Dec,125304959.00,1997
350,18,12,1,1,Rocky III (MGM/UA),5/28/82,May,125049038.00,1982
351,36,88,7,21,The Vow (Sony / Screen Gems),2/10/12,Feb,125014030.00,2012
352,117,19,15,7,Cloudy with a Chance of Meatballs (Sony / Columbia),9/18/09,Sep,124869468.00,2009
353,140,45,36,8,The Devil Wears Prada (Fox),6/30/06,Jun,124740659.00,2006
354,116,48,30,10,Something's Gotta Give (Sony / Columbia),12/12/03,Dec,124728615.00,2003
355,143,13,37,3,Traffic (USA Films),12/27/00,Dec,124115702.00,2000
356,33,10,10,1,The Birdcage (MGM/UA),3/8/96,Mar,124060456.00,1996
357,27,3,3,0,City Slickers (Columbia),6/7/91,Jun,124033055.00,1991
358,33,4,3,1,"Good Morning, Vietnam (Disney)",12/23/87,Dec,123922029.00,1987
359,22,63,8,14,Nutty Professor II: The Klumps (Universal),7/28/00,Jul,123309442.00,2000
360,184,26,30,5,Rango (Paramount),3/4/11,Mar,123257581.00,2011
361,31,7,7,2,Clear and Present Danger (Paramount),8/3/94,Aug,122187590.00,1994
362,42,2,4,1,The Hunt for Red October (Paramount),3/2/90,Mar,122012815.00,1990
363,11,23,1,5,The Bodyguard (Warner Bros.),11/25/92,Nov,121945613.00,1992
364,39,7,5,2,Wayne's World (Paramount),2/14/92,Feb,121697730.00,1992
365,153,31,30,8,The Bourne Identity (Universal),6/14/02,Jun,121661607.00,2002
366,181,25,37,6,Superbad (Sony / Columbia),8/17/07,Aug,121463956.00,2007
367,38,4,7,2,Speed (Fox),6/10/94,Jun,121250167.00,1994
368,76,96,18,21,50 First Dates (Sony / Columbia),2/13/04,Feb,120908340.00,2004
369,62,10,10,4,Mulan (Disney),6/19/98,Jun,120620823.00,1998
370,235,31,33,11,Inglourious Basterds (Weinstein Company),8/21/09,Aug,120540835.00,2009
371,154,45,36,9,Seabiscuit (Universal),7/25/03,Jul,120277109.00,2003
372,47,161,7,32,Van Helsing (Universal),5/7/04,May,120150620.00,2004
373,36,107,5,23,Four Christmases (Warner Bros. / New Line),11/26/08,Nov,120146737.00,2008
374,22,134,5,31,I Now Pronounce You Chuck and Larry (Universal),7/20/07,Jul,120059537.00,2007
375,33,11,5,4,The Mask (New Line),7/29/94,Jul,119938168.00,1994
376,11,27,3,4,Hook (TriStar),12/11/91,Dec,119654006.00,1991
377,167,36,32,10,Walk the Line (Fox),11/18/05,Nov,119519615.00,2005
378,41,5,4,1,Blazing Saddles (Warner Bros.),2/7/74,Feb,119500420.00,1974
379,25,95,3,20,G-Force (Disney),7/24/09,Jul,119420515.00,2009
380,43,8,7,2,Total Recall (1990) (TriStar),6/1/90,Jun,119394451.00,1990
381,21,2,4,1,On Golden Pond (Universal),12/4/81,Dec,119285747.00,1981
382,151,42,26,7,The Other Guys (Sony / Columbia),8/6/10,Aug,119219978.00,2010
383,189,38,38,8,Fahrenheit 9/11 (Lionsgate),6/23/04,Jun,119194688.00,2004
384,99,69,17,19,The Sum of All Fears (Paramount),5/31/02,May,118907992.00,2002
385,194,19,43,1,Hairspray (2007) (New Line),7/20/07,Jul,118871811.00,2007
386,63,125,8,34,The Break-Up (Universal),6/2/06,Jun,118806665.00,2006
387,113,45,21,13,Lemony Snicket's A Series of Unfortunate Events (Paramount),12/17/04,Dec,118634891.00,2004
388,128,56,28,14,Blades of Glory (Paramount / DreamWorks),3/30/07,Mar,118594798.00,2007
389,27,15,2,4,Back to the Future Part II (Universal),11/22/89,Nov,118450207.00,1989
390,142,87,23,16,Salt (Sony / Columbia),7/23/10,Jul,118311368.00,2010
391,29,16,7,4,Basic Instinct (TriStar),3/20/92,Mar,117727662.00,1992
392,24,57,9,17,Big Momma's House (Fox),6/2/00,Jun,117559119.00,2000
393,30,16,5,3,Die Hard 2: Die Harder (Fox),7/4/90,Jul,117540159.00,1990
394,138,62,23,17,Horrible Bosses (Warner Bros. / New Line),7/8/11,Jul,117538559.00,2011
395,42,4,4,2,Rocky (United Artists),11/21/76,Nov,117235327.00,1976
396,66,38,7,13,Jackass 3D (Paramount),10/15/10,Oct,117229692.00,2010
397,137,59,27,18,Ocean's Thirteen (Warner Bros.),6/8/07,Jun,117154265.00,2007
398,78,85,15,25,S.W.A.T. (Sony / Columbia),8/8/03,Aug,116934901.00,2003
399,146,47,35,6,8 Mile (Universal),11/8/02,Nov,116750188.00,2002
400,21,63,4,18,Double Jeopardy (Paramount),9/24/99,Sep,116741272.00,1999
401,58,163,7,32,Green Lantern (Warner Bros.),6/17/11,Jun,116601172.00,2011
402,81,17,21,7,Notting Hill (Universal),5/28/99,May,116089296.00,1999
403,57,26,16,5,You've Got Mail (Warner Bros.),12/18/98,Dec,115821207.00,1998
404,36,99,7,15,Ghost Rider (Sony / Columbia),2/16/07,Feb,115802007.00,2007
405,96,36,21,12,Remember the Titans (Disney),9/29/00,Sep,115654030.00,2000
406,234,23,36,4,District 9 (Sony / TriStar),8/14/09,Aug,115649263.00,2009
407,9,13,0,0,The Karate Kid Part II (Columbia),6/20/86,Jun,115103443.00,1986
408,36,1,4,0,American Graffiti (Universal),8/1/73,Aug,115000796.00,1973
409,53,2,4,1,Big (Fox),6/3/88,Jun,114968482.00,1988
410,112,48,23,14,DodgeBall: A True Underdog Story (Fox),6/18/04,Jun,114326303.00,2004
411,88,116,19,22,The Village (Disney),7/30/04,Jul,114197961.00,2004
412,157,21,25,7,Bolt (Disney),11/21/08,Nov,114051154.00,2008
413,22,82,4,21,Wild Wild West (Warner Bros.),6/30/99,Jun,113805311.00,1999
414,148,38,34,3,Magic Mike (Warner Bros.),6/29/12,Jun,113721571.00,2012
415,24,16,1,6,The Addams Family (Paramount),11/22/91,Nov,113502255.00,1991
416,82,50,14,16,The Patriot (Sony / Columbia),6/28/00,Jun,113330349.00,2000
417,117,92,21,17,The Bourne Legacy (Universal),8/10/12,Aug,113203870.00,2012
418,26,102,5,28,The Pacifier (Disney),3/4/05,Mar,113086910.00,2005
419,44,62,14,18,Dr. Dolittle 2 (Fox),6/22/01,Jun,112952427.00,2001
420,95,75,22,14,It's Complicated (Universal),12/25/09,Dec,112735395.00,2009
421,117,9,26,1,Spy Kids (Miramax / Dimension),3/30/01,Mar,112719821.00,2001
422,18,17,3,2,Ghostbusters II (Columbia),6/16/89,Jun,112494410.00,1989
423,59,4,16,0,Face/Off (Paramount),6/27/97,Jun,112276698.00,1997
424,49,2,5,2,One Flew Over the Cuckoo's Nest (United Artists),11/20/75,Nov,112000194.00,1975
425,10,18,3,1,Twins (Universal),12/9/88,Dec,111936710.00,1988
426,62,75,12,19,Spy Kids 3D: Game Over (Miramax / Dimension),7/25/03,Jul,111761923.00,2003
427,28,5,3,2,Doctor Zhivago (MGM),12/22/65,Dec,111721461.00,1965
428,59,24,13,8,Enemy of the State (Disney),11/16/98,Nov,111549331.00,1998
429,47,5,6,1,The Little Mermaid (Disney),11/15/89,Nov,111543565.00,1989
430,7,15,0,1,Porky's (Fox),3/19/82,Mar,111289698.00,1982
431,139,75,23,19,The Last Samurai (Warner Bros.),12/5/03,Dec,111127463.00,2003
432,189,39,34,8,Tropic Thunder (Paramount / DreamWorks),8/13/08,Aug,110515566.00,2008
433,33,150,5,31,Valentine's Day (Warner Bros. / New Line),2/12/10,Feb,110486000.00,2010
434,62,93,9,25,The Grudge (Sony / Columbia),10/22/04,Oct,110359889.00,2004
435,38,94,9,23,Fun with Dick and Jane (2005) (Sony / Columbia),12/21/05,Dec,110332851.00,2005
436,129,18,31,5,Freaky Friday (2003) (Disney),8/6/03,Aug,110230337.00,2003
437,27,80,6,20,Bedtime Stories (Disney),12/25/08,Dec,110103441.00,2008
438,46,81,11,19,Scary Movie 3 (Miramax / Dimension),10/24/03,Oct,110003249.00,2003
439,32,6,5,2,Star Trek IV: The Voyage Home (Paramount),11/26/86,Nov,109713330.00,1986
440,154,26,32,5,The 40-Year-Old Virgin (Universal),8/19/05,Aug,109449551.00,2005
441,3,23,0,4,Crocodile Dundee II (Paramount),5/25/88,May,109306488.00,1988
442,18,137,4,26,Couples Retreat (Universal),10/9/09,Oct,109205246.00,2009
443,34,17,8,5,A Time to Kill (Warner Bros.),7/24/96,Jul,108766173.00,1996
444,129,41,28,11,Black Hawk Down (Sony / Columbia),12/28/01,Dec,108638655.00,2001
445,32,4,4,1,Terms of Endearment (Paramount),11/23/83,Nov,108423643.00,1983
446,8,16,1,2,Ace Ventura: When Nature Calls (Warner Bros.),11/10/95,Nov,108385989.00,1995
447,53,60,13,16,The Princess Diaries (Disney),8/3/01,Aug,108248940.00,2001
448,37,5,5,0,Superman II (Warner Bros.),6/19/81,Jun,108185706.00,1981
449,34,98,6,15,HOP (Universal),4/1/11,Apr,108085305.00,2011
450,55,3,15,1,Pulp Fiction (Miramax),10/14/94,Oct,107966964.00,1994
451,155,33,24,2,Paranormal Activity (Paramount),9/25/09,Sep,107918259.00,2009
452,164,17,41,2,Lincoln (Disney / DreamWorks),11/9/12,Nov,107687319.00,2012
453,37,8,6,3,A League of Their Own (Sony / Columbia),7/1/92,Jul,107533754.00,1992
454,185,103,21,26,Watchmen (Warner Bros.),3/6/09,Mar,107509220.00,2009
455,8,58,3,13,Batman and Robin (Warner Bros.),6/20/97,Jun,107325044.00,1997
456,20,6,3,1,The Towering Inferno (Fox),12/14/74,Dec,107082379.00,1974
457,233,34,36,6,Black Swan (Fox Searchlight),12/3/10,Dec,106954678.00,2010
458,69,32,14,8,Analyze This (Warner Bros.),3/5/99,Mar,106885341.00,1999
459,136,5,31,0,Chicken Run (DreamWorks),6/21/00,Jun,106834223.00,2000
460,48,67,8,20,Miss Congeniality (Warner Bros.),12/22/00,Dec,106807088.00,2000
461,40,9,9,5,GoldenEye (MGM/UA),11/17/95,Nov,106635441.00,1995
462,13,23,1,3,Indecent Proposal (Paramount),4/7/93,Apr,106633417.00,1993
463,34,9,8,0,Driving Miss Daisy (Warner Bros.),12/13/89,Dec,106593124.00,1989
464,13,10,4,0,Love Story (Paramount),12/16/70,Dec,106397305.00,1970
465,30,4,5,1,Kramer Vs. Kramer (Columbia),12/19/79,Dec,106260774.00,1979
466,129,49,33,8,The Italian Job (Paramount),5/30/03,May,106128873.00,2003
467,62,85,12,23,How to Lose a Guy in 10 Days (Paramount),2/7/03,Feb,105813213.00,2003
468,13,20,2,6,The First Wives Club (Paramount),9/20/96,Sep,105490552.00,1996
469,103,133,15,23,Robin Hood (Universal),5/14/10,May,105269730.00,2010
470,29,19,4,6,Interview with the Vampire (Warner Bros.),11/11/94,Nov,105264558.00,1994
471,29,23,11,4,George of the Jungle (Disney),7/16/97,Jul,105263112.00,1997
472,232,11,41,2,Argo (Warner Bros.),10/12/12,Oct,104955079.00,2012
473,42,6,5,2,The Graduate (AVCO Embassy),12/21/67,Dec,104901861.00,1967
474,17,17,1,5,Phenomenon (Disney),7/3/96,Jul,104636771.00,1996
